data.name,average_proportion_percent
TRIP_SEGMENTATION/segment_into_trips_time/loop,0.15276689193211426
TRIP_SEGMENTATION/segment_into_trips,0.1280885888717201
SECTION_SEGMENTATION,0.022204721977408772
TRIP_SEGMENTATION/segment_into_trips_dist/loop,0.01766156289183502
TRIP_SEGMENTATION,0.014401949608149793
OUTPUT_GEN,0.010669270989404154
JUMP_SMOOTHING,0.00661697425774731
TRIP_SEGMENTATION/create_places_and_trips,0.00649919219804974
CLEAN_RESAMPLING,0.005680073236643995
TRIP_SEGMENTATION/segment_into_trips_time/has_trip_ended,0.0028819108920511913
USERCACHE,0.002468457749873447
CREATE_CONFIRMED_OBJECTS,0.0016393639012036402
USER_INPUT_MATCH_INCOMING,0.0014783192657670421
CREATE_COMPOSITE_OBJECTS,0.0009995209792543515
LABEL_INFERENCE,0.0009424642240759492
MODE_INFERENCE,0.00038700125173770874
STORE_USER_STATS,0.0001707806631188053
TRIP_SEGMENTATION/get_data_df,0.0001320043738285398
TRIP_SEGMENTATION/segment_into_trips_dist/get_filtered_points_df,0.00013183740020508407
TRIP_SEGMENTATION/segment_into_trips_dist/has_trip_ended,0.0001298356771603844
TRIP_SEGMENTATION/segment_into_trips_dist/get_transition_df,0.00011124922143423075
EXPECTATION_POPULATION,8.700638454233844e-05
TRIP_SEGMENTATION/segment_into_trips_time/get_filtered_points_pre_ts_diff_df,4.1013426247118875e-05
TRIP_SEGMENTATION/segment_into_trips_time/get_transition_df,3.1937329929901714e-05
ACCURACY_FILTERING,2.7472513665854528e-05
TRIP_SEGMENTATION/segment_into_trips_dist/post_loop,1.1887831084059478e-05
TRIP_SEGMENTATION/get_time_range_for_segmentation,7.68816938715497e-06
TRIP_SEGMENTATION/segment_into_trips_dist/check_transitions_post_loop,6.8011321975942205e-06
TRIP_SEGMENTATION/handle_out_of_order_points,5.603036045921921e-06
TRIP_SEGMENTATION/segment_into_trips_time/calculations_per_iteration,4.390600825278951e-06
TRIP_SEGMENTATION/segment_into_trips_time/post_loop,8.78161457022981e-07
TRIP_SEGMENTATION/segment_into_trips_time/filter_bogus_points,7.902662327060389e-07
TRIP_SEGMENTATION/segment_into_trips_dist/handle_trip_end,7.118576171463132e-07
TRIP_SEGMENTATION/segment_into_trips_dist/mark_valid,4.4485792611108437e-07
TRIP_SEGMENTATION/segment_into_trips_dist/get_last_trip_end_point,3.72806068141035e-07
TRIP_SEGMENTATION/get_filters_in_df,2.528447150568284e-07
TRIP_SEGMENTATION/segment_into_trips_dist/continue_just_ended,2.018316624940165e-07
TRIP_SEGMENTATION/get_time_series,9.695436746645787e-09
TRIP_SEGMENTATION/create_dist_filter,4.272982279598134e-09
TRIP_SEGMENTATION/create_time_filter,4.008163455071034e-09
TRIP_SEGMENTATION/segment_into_trips_dist/set_new_trip_start_point,1.4415298314218533e-09
