data.name,average_time_sec,std_dev_sec,variance_sec2
TRIP_SEGMENTATION,88.63751655683471,868.745379666319,754718.5346915767
SECTION_SEGMENTATION,101.45429493461275,801.6514092389499,642644.9819347943
TRIP_SEGMENTATION/segment_into_trips_time/loop,275.8331937849599,376.05155270052285,141414.7702884741
TRIP_SEGMENTATION/segment_into_trips,233.27489782592636,353.33735979233023,124847.28982501461
JUMP_SMOOTHING,29.145887986110438,317.3051840753839,100682.57984111327
CLEAN_RESAMPLING,23.59271400485975,279.0127541062823,77848.11695397273
TRIP_SEGMENTATION/segment_into_trips_dist/loop,43.18721704219502,88.42008435346644,7818.11131707412
CREATE_CONFIRMED_OBJECTS,7.57897472733851,36.915606581156695,1362.7620092547397
OUTPUT_GEN,28.69214651411009,25.77305875534489,664.2505576064599
LABEL_INFERENCE,4.319229511440069,21.90577521863036,479.86298792916006
USERCACHE,6.138794392448704,20.30800947574095,412.4152488667841
TRIP_SEGMENTATION/segment_into_trips_time/has_trip_ended,5.203754482825234,20.024400955731288,400.97663363589214
USER_INPUT_MATCH_INCOMING,5.6688312545282695,13.020415721194523,169.5312255527295
TRIP_SEGMENTATION/segment_into_trips_dist/has_trip_ended,0.33176563871859305,8.529429323880754,72.7511645910769
CREATE_COMPOSITE_OBJECTS,3.0043410014082594,8.439637041366556,71.22747339000644
TRIP_SEGMENTATION/create_places_and_trips,6.11492777755484,7.914361833389837,62.63712322981773
MODE_INFERENCE,1.2473277349806695,5.424657975291317,29.426914148891694
STORE_USER_STATS,0.5769555639983178,1.5554685809880635,2.41948250644102
ACCURACY_FILTERING,0.025222959474839046,0.9568242478574538,0.9155126412879822
EXPECTATION_POPULATION,0.18250939589516627,0.4980862868736438,0.24808994917157381
TRIP_SEGMENTATION/get_data_df,0.13479221123112303,0.26092309063334995,0.06808085922565935
TRIP_SEGMENTATION/segment_into_trips_dist/get_transition_df,0.12171991904162699,0.11985586231843272,0.014365427732095102
TRIP_SEGMENTATION/segment_into_trips_dist/get_filtered_points_df,0.1277177627025931,0.11771221423365522,0.013856165379789943
TRIP_SEGMENTATION/segment_into_trips_time/get_filtered_points_pre_ts_diff_df,0.06102312830432008,0.08727904185954163,0.00761763114791962
TRIP_SEGMENTATION/segment_into_trips_time/get_transition_df,0.04896719856575752,0.08115327024933613,0.0065858532721617844
TRIP_SEGMENTATION/handle_out_of_order_points,0.004389608453097595,0.011134451071803213,0.00012397600067037972
TRIP_SEGMENTATION/get_time_range_for_segmentation,0.008812385345143932,0.004585179801005735,2.102387380755099e-05
TRIP_SEGMENTATION/segment_into_trips_time/post_loop,0.001586464757565409,0.004578535054038271,2.0962983241057238e-05
TRIP_SEGMENTATION/segment_into_trips_time/calculations_per_iteration,0.009030038257105083,0.004086909482923357,1.670282912160886e-05
TRIP_SEGMENTATION/segment_into_trips_dist/post_loop,0.009637999072394989,0.002642801409029978,6.984399287570838e-06
TRIP_SEGMENTATION/segment_into_trips_dist/check_transitions_post_loop,0.0054819285690497896,0.0009627781202843403,9.269417088982476e-07
TRIP_SEGMENTATION/segment_into_trips_dist/continue_just_ended,0.00030632289442217953,0.0002914673901158896,8.495323950096816e-08
TRIP_SEGMENTATION/segment_into_trips_time/filter_bogus_points,0.000983266447049876,0.0001752453102736138,3.0710918772895174e-08
TRIP_SEGMENTATION/segment_into_trips_dist/handle_trip_end,0.000659627289595929,8.934317896166205e-05,7.982203626975573e-09
TRIP_SEGMENTATION/get_filters_in_df,0.00028325290716931125,6.371823062891851e-05,4.060012914480049e-09
TRIP_SEGMENTATION/segment_into_trips_dist/mark_valid,0.0003925704017833427,4.8588850212297995e-05,2.3608763649531308e-09
TRIP_SEGMENTATION/segment_into_trips_dist/get_last_trip_end_point,0.0003441714427687905,4.751150388466948e-05,2.2573430013829634e-09
TRIP_SEGMENTATION/get_time_series,1.9164622159294e-05,7.978318436830668e-06,6.365356507947214e-11
TRIP_SEGMENTATION/segment_into_trips_dist/set_new_trip_start_point,1.5871754537026088e-06,2.9460915274167202e-06,8.679455287916583e-12
TRIP_SEGMENTATION/create_dist_filter,4.974840094848555e-06,2.1486195731094996e-06,4.616566069949248e-12
TRIP_SEGMENTATION/create_time_filter,4.684489195038672e-06,9.818231861271832e-07,9.639767688169334e-13
